HSK1_021	坏	spoiled
HSK1_021	水	water, H2O, liquid, bubble, a general term for rivers, lakes, seas, etc., Shiu, waters, aqueous, Aquarius, river, Surname, blister, drink, eau, aqua
HSK1_022	杯	m.[container]
HSK1_022	学校	seminary, schoolhouse, educational institution, school, institution
HSK1_022	高	tall, high
HSK1_022	电影	cinematography, moving_picture, pix, kinema, picture, film, movie, moving picture, flick, cinema, motion_picture, cinematic, celluloid, picture show, motion picture, flicker
HSK1_022	试	offer, attempt, essay, flesh, try, seek, assay, test
HSK1_022	身上	on the body, at hand, among
HSK1_022	房间	apartment, aspect, houseroom, room, chamber, bedroom
HSK1_022	书	volume, document, style of calligraphy, book, script, letter
HSK1_022	球	ball
HSK1_022	忘	forget, overlook, neglect
HSK1_023	进来	come in, enter
HSK1_023	路	road, path, way, journey, distance, means, sequence, logic, line, region, district, route, sort, grade, class
HSK1_023	四	det.: four
HSK1_023	第	mansion, stadium, decker, det.: marker of ordinal numerals, abomasum, residence
HSK1_023	进去	enter, entry, go_in, get in, go in
HSK1_023	听到	hear
HSK1_023	正在	course of, be, be in process
HSK1_023	笑	smile, laugh
HSK1_023	那边	beyond, that side, there
HSK1_023	远	far, distant (lit./fig.)
HSK1_024	床	bed
HSK1_024	歌	song
HSK1_024	唱	cry, chant, chirm, tune, vocalize, call, sing
HSK1_024	别的	else, other
HSK1_024	学	study, learn, imitate, mimic
HSK1_024	关	shut, close, turn off, lock up, close down
HSK1_024	五	det.: five
HSK1_024	男	baron, male, man, steady, mankind, male person, boy, chauvinism, creature, son
HSK1_024	帮忙	assist, aid, smile, lend a hand, do a favour, help, oblige, give a hand, do favor, do a good turn
HSK1_024	国家	sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica
HSK1_025	间	locality, room
HSK1_025	分	m.[general]
HSK1_025	医院	spital, hospital, infirmary, hospice
HSK1_025	半	det.: half
HSK1_025	少	lack, be deficient, lose, be missing
HSK1_025	没关系	it doesn't matter, never mind
HSK1_025	真的	really, truly, indeed
HSK1_025	教	teach
HSK1_025	重	heavy, weighty, important, considerable in amount/value
HSK1_025	飞机	aerocraft, airplane, machine, craft, aeroplane, ship, aero, avion, aeronef, plane, aircraft
HSK1_026	打开	unscrew, undo, break_out, open up, unbar, unpack, unwind, shoot, turn, switch_on, open, switch on, unroll, turn/switch on, unclose, straighten, unfold, crack, unwrap, ope, turn_on, turn on, chop
HSK1_026	早上	early morning, CL:個|个[ge4]
HSK1_026	二	det.: two, second
HSK1_026	电视	TV, box, iconoscope, video, television set, teevee, orthicon, huckster, TV set, radiovision, television, telecasting, airwave, telly
HSK1_026	回到	remount, retour, recur, turn back, regress, regain, revert, go_back, return to, return, go back to
HSK1_026	身体	soma, system, physical structure, body, health, carcase, corpus, frame, person, somatic, organic structure, personage
HSK1_026	读	study, read, attend school, take, read aloud, read (aloud), peruse
HSK1_026	这边	this side, here
HSK1_026	家里	home
HSK1_026	昨天	yesterday
HSK1_027	大学	university, college
HSK1_027	记	write down, record
HSK1_027	口	m.[general]
HSK1_027	日	m.[standard]
HSK1_027	休息	repose, have, lie dormant, respire, take time off, have a rest, take a rest, take off, relax, take_time_off, have/take a rest, rest
HSK1_027	回答	answer, reply
HSK1_027	外	outside, in addition, foreign, external
HSK1_027	睡觉	turn_in, log Z's, doss, slumber, catch some Z's, go to bed, sleep, doss down, crash, go_to_sleep, hit_the_sack, kip
HSK1_027	子	son, child, seed, egg, small thing, 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat, Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], ancient Chinese compass point: 0° (north), (noun suffix)
HSK1_027	六	det.: six
HSK1_028	飞	hover in the air, flight, hover, volatilize, wing, disappear through volatilization, flutter, skip, hover/flutter in the air, fly, blow, flutter in the air, flit
HSK1_028	老师	rabbi, professor, swami, instructor, teacher, mast
HSK1_028	不用	need not
HSK1_028	星期	Sunday, week
HSK1_028	生气	get angry, be angry
HSK1_028	生日	birthday
HSK1_028	病	disease
HSK1_028	包	wrap, surround, encircle, envelop, include, contain, undertake the whole thing, assure, guarantee
HSK1_028	哥哥	big brother, elder brother, big_brother
HSK1_028	票	ticket, ballot, note
HSK1_029	手机	cell phone, mobile phone, CL:部[bu4],支[zhi1]
HSK1_029	忘记	misremember, block, blank out, neglect, overlook, draw a blank, leave_out, disremember, fail, forget
HSK1_029	十	det.: ten
HSK1_029	楼	storey, Lou, tower, superstructure, storied building, story, floor, Surname, a storied building
HSK1_029	记住	to remember, to bear in mind, to learn by heart
HSK1_029	洗	wash, bathe, sack, develop (film), shuffle (cards/etc.)
HSK1_029	干什么	do something
HSK1_029	病人	shut-in, patient, subject, sufferer, case, valetudinarian, invalid
HSK1_029	弟弟	brother, little brother, younger brother, cadet, little_brother, viscount
HSK1_029	见面	meet, see
HSK1_030	来到	arrive, come
HSK1_030	一会儿	a moment, a while, in a moment, now...now..., also pr. [yi1 hui3 r5]
HSK1_030	妹妹	little_sister, sis, younger sister, little sister, sister
